,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed,Deaths
48,2021-01-31,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,5940.0,0.0
49,2021-02-01,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,21.0,-3.0,5.0,5566.0,21.0
50,2021-02-02,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,8.0,5.0,3.0,7961.0,8.0
51,2021-02-03,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,16.0,-16.0,-2.0,8727.0,16.0
52,2021-02-04,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,6.0,-21.0,-4.0,8186.0,6.0
53,2021-02-05,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,6.0,-4.0,-6.0,8673.0,6.0
54,2021-02-06,BC,7499.0,7536.0,0.0,0.0,15035.0,0.1,0.1,0.0,0.0,483.0,0.0,0.0,0.0,7910.0,0.0
55,2021-02-07,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,5552.0,0.0
56,2021-02-08,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,13.0,-19.0,-1.0,4987.0,13.0
57,2021-02-09,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,4.0,7.0,-1.0,8050.0,4.0
58,2021-02-10,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,6.0,-11.0,-2.0,8211.0,6.0
59,2021-02-11,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,9.0,-6.0,-3.0,7731.0,9.0
60,2021-02-12,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,10.0,2.0,-2.0,7804.0,10.0
61,2021-02-13,BC,6188.0,10506.0,0.0,0.0,16694.0,0.2,0.2,0.0,0.0,448.0,0.0,0.0,0.0,7985.0,0.0
62,2021-02-14,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,5487.0,0.0
63,2021-02-15,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,5248.0,0.0
64,2021-02-16,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,26.0,5.0,13.0,5635.0,26.0
65,2021-02-17,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,3.0,1.0,-11.0,9147.0,3.0
66,2021-02-18,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,4.0,-8.0,-3.0,9117.0,4.0
67,2021-02-19,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,6.0,-7.0,0.0,6006.0,6.0
68,2021-02-20,BC,15059.0,32584.0,0.0,0.0,47643.0,0.2,0.7,0.0,0.0,492.0,0.0,0.0,0.0,7219.0,0.0
69,2021-02-21,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,6006.0,0.0
70,2021-02-22,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,8.0,6.0,6.0,6758.0,8.0
