"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-03-03,30584,27955,2576,,830861,537333,249003,576660,288330,
2021-03-04,34679,32453,2142,,865540,569720,279298,580844,290422,
2021-03-05,39976,38148,1780,,905516,607820,315652,584336,292168,
2021-03-06,44135,41933,2164,,949651,649698,355407,588582,294291,
2021-03-07,32726,31549,1173,,982377,681173,385767,590812,295406,
2021-03-08,24035,22161,1861,,1006412,703266,406053,594426,297213,
2021-03-09,33277,29830,3419,,1039689,733030,432444,601172,300586,
2021-03-10,38320,34061,4214,,1078009,767017,462265,609504,304752,
2021-03-11,43964,40693,3232,,1121973,807644,499712,615864,307932,
2021-03-12,47692,45980,1688,,1169665,853560,543990,619140,309570,
2021-03-13,57897,55026,2843,,1227562,908515,596156,624718,312359,
2021-03-14,43395,42161,1217,,1270957,950593,637085,627016,313508,
2021-03-15,32796,31100,1681,,1303753,981634,666488,630292,315146,
2021-03-16,53935,51643,2276,,1357688,1033212,715833,634758,317379,
2021-03-17,61049,58514,2492,,1418737,1091660,771839,639642,319821,
2021-03-18,61520,59067,2428,,1480257,1150655,828459,644392,322196,
2021-03-19,64449,61128,3268,,1544706,1211705,886294,650822,325411,
2021-03-20,62552,59966,2555,,1607258,1271615,943697,655836,327918,
2021-03-21,43981,42462,1533,,1651239,1314012,984598,658828,329414,
2021-03-22,30989,30027,973,,1682228,1343951,1013620,660662,330331,
2021-03-23,54600,51825,2724,,1736828,1395681,1062689,665984,332992,
2021-03-24,76409,73229,3132,,1813237,1468820,1132753,672134,336067,
2021-03-25,82897,80318,2532,,1896134,1549059,1210517,677084,338542,
2021-03-26,86985,83456,3490,,1983119,1632434,1290454,683960,341980,
2021-03-27,80834,77886,2864,,2063953,1710217,1365438,689558,344779,
2021-03-28,66981,65395,1553,,2130934,1775522,1429247,692550,346275,
2021-03-29,51725,49040,2651,,2182659,1824482,1475602,697760,348880,
2021-03-30,73559,70154,3347,,2256218,1894559,1542373,704372,352186,
2021-03-31,93138,89494,3577,,2349356,1983955,1628245,711420,355710,
