"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-12-30,200024,10127,5339,184516,27472369,12307662,783602,,11524060,3475469
2021-12-31,195177,10007,5792,179127,27667546,12317380,787808,,11529572,3654470
2022-01-01,96934,5378,3874,87357,27764480,12322449,789304,,11533145,3741678
2022-01-02,19436,939,924,17444,27783916,12323097,789310,,11533787,3758976
2022-01-03,88242,4772,4590,78799,27872158,12327559,789484,,11538075,3837622
2022-01-04,146343,5996,5312,134995,28018501,12333227,790155,,11543072,3972461
2022-01-05,177455,7617,7292,162374,28195956,12340490,790469,,11550021,4134675
2022-01-06,191492,7199,6781,176987,28387448,12347370,790876,,11556494,4311507
2022-01-07,191212,7951,6986,175465,28578660,12354977,791829,,11563148,4486799
2022-01-08,181624,8615,6630,165194,28760284,12363260,793801,,11569459,4651837
2022-01-09,131083,9862,7175,113953,28891367,12372800,796483,,11576317,4765630
2022-01-10,90550,5107,4489,80826,28981917,12377585,797091,,11580494,4846303
2022-01-11,138843,6149,6561,125427,29120760,12383387,796666,,11586721,4971540
2022-01-12,156990,8155,8046,138667,29277750,12391213,796770,,11594443,5110039
2022-01-13,162644,9205,9207,141523,29440394,12400056,796754,,11603302,5251379
2022-01-14,159829,10745,10371,136023,29600223,12410440,797123,,11613317,5387204
2022-01-15,161178,11008,11668,135868,29761401,12421078,796452,,11624626,5522879
2022-01-16,109758,9285,9669,89449,29871159,12430002,796061,,11633941,5612111
2022-01-17,65771,5934,6562,52635,29936930,12435601,795423,,11640178,5664561
2022-01-18,36088,2003,2124,31139,29973018,12437249,795291,,11641958,5695504
2022-01-19,101298,5580,6713,85945,30074316,12442429,794140,,11648289,5781222
2022-01-20,103575,6321,6998,85719,30177891,12448366,793455,,11654911,5866718
2022-01-21,102078,6228,8053,82484,30279969,12454190,791616,,11662574,5948974
2022-01-22,102558,8710,12067,78104,30382527,12462511,788252,,11674259,6026850
2022-01-23,76672,7305,13985,54782,30459199,12469473,781565,,11687908,6081410
2022-01-24,42255,3194,7934,30738,30501454,12472303,776807,,11695496,6111941
2022-01-25,62554,3756,8365,48114,30564008,12475681,772183,,11703498,6159837
2022-01-26,77869,4911,13165,55686,30641877,12480215,763924,,11716291,6215281
2022-01-27,78056,4893,13244,56034,30719933,12484736,755563,,11729173,6271078
2022-01-28,77265,4671,13671,53883,30797198,12489049,746550,,11742499,6324742
2022-01-29,84799,5528,17706,58103,30881997,12494214,734365,,11759849,6382601
2022-01-30,66489,5025,20621,40149,30948486,12498897,718755,,11780142,6422525
2022-01-31,34738,2175,9879,22345,30983224,12500753,711042,,11789711,6444681
2022-02-01,51340,3267,9658,36520,31034564,12503667,704641,,11799026,6480976
2022-02-02,57698,3844,12391,38677,31092262,12507181,696079,,11811102,6519454
2022-02-03,52571,3610,11506,34297,31144833,12510414,688171,,11822243,6553500
2022-02-04,43074,2947,10555,27276,31187907,12513051,680553,,11832498,6580582
2022-02-05,58703,3737,14469,37558,31246610,12516456,669809,,11846647,6617927
2022-02-06,49852,3638,16113,29571,31296462,12519771,657329,,11862442,6647274
2022-02-07,23226,1691,7807,13436,31319688,12521136,651200,,11869936,6660486
2022-02-08,33374,2353,7240,21965,31353062,12523159,646306,,11876853,6682218
2022-02-09,38866,2781,8912,24406,31391928,12525582,640169,,11885413,6706372
2022-02-10,37528,2763,8831,22549,31429456,12528009,634097,,11893912,6728691
2022-02-11,39432,2721,10287,22999,31468888,12530384,626522,,11903862,6751452
2022-02-12,42032,2954,11452,25309,31510920,12533004,618013,,11914991,6776537
2022-02-13,36306,2801,13138,19939,31547226,12535518,607673,,11927845,6796278
2022-02-14,16967,1175,6118,9466,31564193,12536418,602722,,11933696,6805544
2022-02-15,19341,1384,4743,11874,31583534,12537479,599353,,11938126,6817191
2022-02-16,26011,1764,7727,14945,31609545,12538946,593386,,11945560,6831935
2022-02-17,26751,1681,7518,14983,31636296,12540272,587540,,11952732,6846663
2022-02-18,23929,1353,6604,13671,31660225,12541308,582277,,11959031,6860125
2022-02-19,37830,1902,8335,26050,31698055,12542879,575839,,11967040,6885934
2022-02-20,32563,1493,7959,22803,31730618,12544072,569365,,11974707,6908533
2022-02-21,17499,913,3677,12755,31748117,12544690,566592,,11978098,6921077
2022-02-22,9099,428,1549,6953,31757216,12544829,565466,,11979363,6927820
2022-02-23,25325,1327,4789,17290,31782541,12545846,561997,,11983849,6944874
2022-02-24,24562,1398,5233,15476,31807103,12546923,558158,,11988765,6960107
2022-02-25,23090,1387,5135,14503,31830193,12548016,554403,,11993613,6974384
2022-02-26,25221,1383,5908,16551,31855414,12549089,549871,,11999218,6990709
2022-02-27,26948,1369,7365,17700,31882362,12550189,543864,,12006325,7008214
2022-02-28,10127,594,2529,6745,31892489,12550530,541921,,12008609,7014776
2022-03-01,13183,943,3147,8161,31905672,12551168,539707,,12011461,7022720
2022-03-02,15407,1163,3575,9614,31921079,12552070,537288,,12014782,7032157
2022-03-03,14292,1077,3224,8686,31935371,12552836,535134,,12017702,7040612
2022-03-04,14464,989,3441,8313,31949835,12553504,532678,,12020826,7048672
2022-03-05,18526,1276,4996,11181,31968361,12554471,528947,,12025524,7059629
2022-03-06,16507,1087,5522,9602,31984868,12555279,524506,,12030773,7069024
2022-03-07,5943,464,1858,3509,31990811,12555458,523105,,12032353,7072316
2022-03-08,7354,697,1937,4158,31998165,12555877,521858,,12034019,7076275
2022-03-09,11152,906,2735,6404,32009317,12556507,520023,,12036484,7082477
2022-03-10,12752,1044,3251,6834,32022069,12557274,517809,,12039465,7089098
2022-03-11,12882,903,3406,6862,32034951,12557888,515298,,12042590,7095744
2022-03-12,14677,1045,4178,8310,32049628,12558661,512162,,12046499,7103850
2022-03-13,14740,1089,4997,8329,32064368,12559459,508250,,12051209,7111942
2022-03-14,6329,448,2228,3497,32070697,12559637,506467,,12053170,7115225
2022-03-15,10195,791,2624,5972,32080892,12560138,504622,,12055516,7120983
2022-03-16,13049,932,3660,6950,32093941,12560782,501891,,12058891,7127703
2022-03-17,13179,1047,3957,6755,32107120,12561542,498974,,12062568,7134239
2022-03-18,11901,911,3144,6432,32119021,12562151,496731,,12065420,7140448
2022-03-19,14434,1002,4161,7899,32133455,12562874,493570,,12069304,7148129
2022-03-20,11737,989,3955,6367,32145192,12563592,490599,,12072993,7154288
2022-03-21,5056,414,1589,2813,32150248,12563747,489420,,12074327,7156898
2022-03-22,6700,551,1556,3886,32156948,12564012,488410,,12075602,7160569
2022-03-23,9962,784,2296,5191,32166910,12564481,486895,,12077586,7165519
2022-03-24,9284,723,2375,4606,32176194,12564940,485234,,12079706,7169921
2022-03-25,9216,782,2151,4746,32185410,12565459,483857,,12081602,7174455
2022-03-26,10919,934,2831,5503,32196329,12566116,481958,,12084158,7179739
2022-03-27,10221,909,3537,5299,32206550,12566766,479326,,12087440,7184827
2022-03-28,3577,319,1107,1986,32210127,12566846,478535,,12088311,7186620
2022-03-29,5334,498,1208,2687,32215461,12567060,477819,,12089241,7189086
2022-03-30,7848,747,1833,4121,32223309,12567529,476728,,12090801,7192983
2022-03-31,8646,689,1924,4412,32231955,12567929,475487,,12092442,7197173
2022-04-01,9298,801,1911,4884,32241253,12568438,474368,,12094070,7201818
2022-04-02,10428,885,2208,5568,32251681,12569036,473033,,12096003,7207169
2022-04-03,9196,878,2567,5063,32260877,12569660,471338,,12098322,7212033
2022-04-04,4196,387,1005,2406,32265073,12569786,470717,,12099069,7214236
2022-04-05,6061,598,1034,3049,32271134,12570044,470275,,12099769,7217011
2022-04-06,8367,715,1478,4373,32279501,12570468,469507,,12100961,7221157
2022-04-07,10332,732,1685,4835,32289833,12570901,468549,,12102352,7225750
2022-04-08,23986,811,1580,4835,32313819,12571434,467774,,12103660,7230369
2022-04-09,30475,969,1972,5893,32344294,12572105,466762,,12105343,7236039
2022-04-10,24849,976,2387,5331,32369143,12572824,465345,,12107479,7241170
2022-04-11,12568,385,874,2432,32381711,12572960,464852,,12108108,7243401
2022-04-12,28109,691,1017,3535,32409820,12573349,464519,,12108830,7246704
2022-04-13,37770,851,1556,4927,32447590,12573901,463810,,12110091,7251401
2022-04-14,37883,761,1610,4910,32485473,12574351,462958,,12111393,7256059
2022-04-15,43393,1230,2101,6726,32528866,12575283,462083,,12113200,7262548
2022-04-16,8087,358,650,1736,32536953,12575381,461789,,12113592,7264068
2022-04-17,21004,870,1922,4315,32557957,12575967,460730,,12115237,7268160
2022-04-18,5457,305,462,1288,32563414,12575986,460568,,12115418,7269208
2022-04-19,22646,615,771,3100,32586060,12576320,460403,,12115917,7272089
2022-04-20,40324,1063,1394,4617,32626384,12577057,460069,,12116988,7276442
2022-04-21,38745,941,1601,4678,32665129,12577703,459401,,12118302,7280886
2022-04-22,35612,1011,1428,4265,32700741,12578441,458977,,12119464,7284932
2022-04-23,34639,1004,1733,4711,32735380,12579163,458245,,12120918,7289406
2022-04-24,20805,1022,1882,3777,32756185,12579935,457382,,12122553,7292989
2022-04-25,8299,453,691,1707,32764484,12580119,457143,,12122976,7294480
2022-04-26,24602,732,942,3138,32789086,12580559,456927,,12123632,7297381
2022-04-27,33592,955,1368,3934,32822678,12581239,456506,,12124733,7301099
2022-04-28,32828,927,1412,3927,32855506,12581893,456012,,12125881,7304803
2022-04-29,32051,1098,1378,3908,32887557,12582694,455725,,12126969,7308483
2022-04-30,30273,923,1535,4020,32917830,12583320,455106,,12128214,7312267
2022-05-01,16746,768,1576,2969,32934576,12583792,454293,,12129499,7314994
2022-05-02,5933,309,524,1097,32940509,12583805,454074,,12129731,7315864
2022-05-03,20921,588,829,2345,32961430,12584088,453827,,12130261,7317970
2022-05-04,29412,800,1091,3293,32990842,12584579,453531,,12131048,7321014
2022-05-05,29091,872,1160,3125,33019933,12585139,453233,,12131906,7323895
2022-05-06,29081,1146,1279,2982,33049014,12585998,453095,,12132903,7326651
2022-05-07,28482,868,1260,3111,33077496,12586576,452698,,12133878,7329538
2022-05-08,15995,896,1309,2322,33093491,12587215,452283,,12134932,7331659
2022-05-09,5896,292,474,943,33099387,12587242,452095,,12135147,7332393
2022-05-10,21221,696,718,2119,33120608,12587621,452066,,12135555,7334253
2022-05-11,28940,836,1079,2654,33149548,12588126,451819,,12136307,7336635
2022-05-12,28230,800,1082,2509,33177778,12588629,451533,,12137096,7338903
2022-05-13,27591,878,1117,2469,33205369,12589197,451290,,12137907,7341115
2022-05-14,25685,808,1096,2608,33231054,12589689,450995,,12138694,7343468
2022-05-15,14844,751,1273,2055,33245898,12590170,450466,,12139704,7345306
2022-05-16,6381,325,532,1047,33252279,12590258,450255,,12140003,7346167
2022-05-17,19594,585,775,1741,33271873,12590529,450058,,12140471,7347660
2022-05-18,26538,877,1097,2272,33298411,12591142,449833,,12141309,7349717
2022-05-19,24430,682,1155,2159,33322841,12591557,449353,,12142204,7351659
2022-05-20,24260,801,1136,2215,33347101,12592091,449014,,12143077,7353657
2022-05-21,22395,691,1166,2345,33369496,12592474,448530,,12143944,7355761
2022-05-22,10555,551,888,1486,33380051,12592764,448188,,12144576,7357030
2022-05-23,4561,241,462,785,33384612,12592747,447965,,12144782,7357607
2022-05-24,2611,118,176,433,33387223,12592612,447905,,12144707,7357831
2022-05-25,19353,655,945,1952,33406576,12593002,447605,,12145397,7359574
2022-05-26,20635,662,948,1908,33427211,12593391,447313,,12146078,7361260
2022-05-27,21752,816,1057,2074,33448963,12593921,447069,,12146852,7363103
2022-05-28,19397,721,1164,2145,33468360,12594373,446623,,12147750,7365035
2022-05-29,12107,761,1280,1725,33480467,12594899,446097,,12148802,7366568
2022-05-30,4578,311,548,751,33485045,12594964,445857,,12149107,7367121
2022-05-31,13545,572,749,1666,33498590,12595234,445674,,12149560,7368547
2022-06-01,16606,702,970,1876,33515196,12595632,445404,,12150228,7370169
2022-06-02,14598,556,866,1673,33529794,12595876,445087,,12150789,7371601
2022-06-03,16098,697,1095,1813,33545892,12596297,444683,,12151614,7373197
2022-06-04,13315,648,1162,1842,33559207,12596689,444165,,12152524,7374838
2022-06-05,7866,587,1109,1432,33567073,12597027,443639,,12153388,7376078
2022-06-06,3293,206,444,641,33570366,12596987,443398,,12153589,7376520
2022-06-07,11210,474,725,1368,33581576,12597162,443142,,12154020,7377644
2022-06-08,14057,666,1012,1608,33595633,12597570,442791,,12154779,7379034
2022-06-09,13368,662,922,1673,33609001,12597944,442526,,12155418,7380475
2022-06-10,13847,685,1066,1695,33622848,12598343,442137,,12156206,7381940
2022-06-11,12976,613,1031,1864,33635824,12598671,441717,,12156954,7383582
2022-06-12,8094,644,1236,1500,33643918,12599059,441121,,12157938,7384877
2022-06-13,3186,284,422,709,33647104,12599077,440978,,12158099,7385377
2022-06-14,10125,511,666,1262,33657229,12599299,440817,,12158482,7386401
2022-06-15,13499,470,829,1620,33670728,12599476,440456,,12159020,7387786
2022-06-16,12534,493,855,1616,33683262,12599665,440089,,12159576,7389156
2022-06-17,11686,479,815,1652,33694948,12599859,439746,,12160113,7390574
2022-06-18,11445,436,873,1860,33706393,12600026,439306,,12160720,7392211
2022-06-19,6998,482,896,1420,33713391,12600260,438891,,12161369,7393421
2022-06-20,2286,147,301,643,33715677,12600187,438731,,12161456,7393896
2022-06-21,9538,358,614,1381,33725215,12600258,438470,,12161788,7395029
2022-06-22,13606,406,724,1702,33738821,12600392,438145,,12162247,7396506
2022-06-23,13694,400,773,1680,33752515,12600530,437769,,12162761,7397975
2022-06-24,15360,435,811,1671,33767875,12600705,437389,,12163316,7399431
2022-06-25,14464,424,851,1711,33782339,12600871,436951,,12163920,7400936
2022-06-26,8156,432,885,1280,33790495,12601045,436491,,12164554,7402002
2022-06-27,3211,171,364,593,33793706,12600968,436294,,12164674,7402389
2022-06-28,9615,370,556,1223,33803321,12601053,436104,,12164949,7403380
2022-06-29,13306,413,727,1628,33816627,12601177,435788,,12165389,7404769
2022-06-30,12223,482,845,1575,33828850,12601376,435423,,12165953,7406112
2022-07-01,13035,548,970,1947,33841885,12601669,434996,,12166673,7407854
2022-07-02,1609,110,115,362,33843494,12601503,434989,,12166514,7407984
2022-07-03,5158,261,493,958,33848652,12601509,434748,,12166761,7408728
2022-07-04,2756,131,279,614,33851408,12601394,434599,,12166795,7409146
2022-07-05,11139,372,598,1572,33862547,12601472,434365,,12167107,7410473
2022-07-06,15952,545,855,2007,33878499,12601723,434049,,12167674,7412239
2022-07-07,15656,521,831,1922,33894155,12601957,433738,,12168219,7413909
2022-07-08,17876,553,870,2244,33912031,12602206,433420,,12168786,7415904
2022-07-09,14133,449,596,1841,33926164,12602382,433272,,12169110,7417512
2022-07-10,8739,472,752,1501,33934903,12602608,432991,,12169617,7418808
2022-07-11,4093,199,331,870,33938996,12602542,432856,,12169686,7419458
2022-07-12,12104,413,523,1653,33951100,12602657,432741,,12169916,7420858
2022-07-13,16708,562,770,2141,33967808,12602924,432527,,12170397,7422757
2022-07-14,16856,486,674,2023,33984664,12603106,432328,,12170778,7424542
2022-07-15,28887,600,822,2181,34013551,12603406,432105,,12171301,7426482
2022-07-16,30286,584,771,2324,34043837,12603678,431909,,12171769,7428556
2022-07-17,22921,538,636,1882,34066758,12603980,431808,,12172172,7430245
2022-07-18,11389,187,254,852,34078147,12603899,431736,,12172163,7430875
2022-07-19,28943,592,590,2131,34107090,12604218,431735,,12172483,7432775
2022-07-20,37626,842,922,2587,34144716,12604783,431650,,12173133,7435127
2022-07-21,36348,732,810,2803,34181064,12605229,431565,,12173664,7437691
2022-07-22,35793,827,888,2681,34216857,12605771,431498,,12174273,7440136
2022-07-23,35138,820,913,2825,34251995,12606280,431397,,12174883,7442707
2022-07-24,21728,602,805,1768,34273723,12606621,431191,,12175430,7444252
2022-07-25,11932,308,311,1080,34285655,12606649,431183,,12175466,7445105
2022-07-26,26084,621,601,2209,34311739,12606988,431202,,12175786,7447072
2022-07-27,32461,810,844,2647,34344200,12607543,431166,,12176377,7449511
2022-07-28,31532,725,884,2603,34375732,12607975,431003,,12176972,7451867
2022-07-29,29986,1790,875,2640,34405718,12609475,431914,,12177561,7454258
2022-07-30,25821,2525,745,2431,34431539,12611727,433692,,12178035,7456462
2022-07-31,14291,1068,541,1561,34445830,12612530,434215,,12178315,7457798
2022-08-01,5911,336,223,681,34451741,12612608,434326,,12178282,7458256
2022-08-02,4473,305,135,600,34456214,12612643,434492,,12178151,7458634
2022-08-03,22927,2635,736,2234,34479141,12615005,436387,,12178618,7460635
2022-08-04,22222,2479,676,2128,34501363,12617159,438184,,12178975,7462502
2022-08-05,21788,2756,743,2063,34523151,12619636,440189,,12179447,7464339
2022-08-06,19641,2877,657,1990,34542792,12622205,442403,,12179802,7466074
2022-08-07,12697,2236,618,1418,34555489,12624169,444015,,12180154,7467277
2022-08-08,4766,570,188,603,34560255,12624457,444390,,12180067,7467648
2022-08-09,14004,1465,557,1589,34574259,12625638,445292,,12180346,7468998
2022-08-10,19119,2363,716,1988,34593378,12627729,446937,,12180792,7470759
2022-08-11,17073,2043,718,1851,34610451,12629499,448260,,12181239,7472380
2022-08-12,16979,2049,734,1850,34627430,12631262,449574,,12181688,7474003
2022-08-13,15945,2222,761,1805,34643375,12633205,451033,,12182172,7475572
2022-08-14,9523,1621,618,1081,34652898,12634539,452032,,12182507,7476419
2022-08-15,3868,388,268,477,34656766,12634676,452149,,12182527,7476689
2022-08-16,10801,1073,514,1355,34667567,12635451,452706,,12182745,7477795
2022-08-17,16091,1832,738,1778,34683658,12636997,453799,,12183198,7479338
2022-08-18,14924,1640,748,1688,34698582,12638316,454687,,12183629,7480758
2022-08-19,15305,1846,747,1544,34713887,12639888,455782,,12184106,7482070
2022-08-20,14277,1640,739,1543,34728164,12641240,456677,,12184563,7483376
2022-08-21,9894,1532,658,1163,34738058,12642511,457547,,12184964,7484326
2022-08-22,4162,481,270,561,34742220,12642696,457755,,12184941,7484634
2022-08-23,11128,1248,553,1492,34753348,12643640,458447,,12185193,7485875
2022-08-24,14751,1807,868,2185,34768099,12645179,459386,,12185793,7487832
2022-08-25,14026,1719,780,2119,34782125,12646613,460318,,12186295,7489708
2022-08-26,13923,1687,815,2090,34796048,12648011,461183,,12186828,7491553
2022-08-27,12409,1484,877,1996,34808457,12649172,461784,,12187388,7493285
2022-08-28,7921,1258,620,1396,34816378,12650176,462420,,12187756,7494466
2022-08-29,3394,504,283,681,34819772,12650408,462636,,12187772,7494921
2022-08-30,9902,1169,649,1853,34829674,12651224,463150,,12188074,7496475
2022-08-31,13505,1626,944,2310,34843179,12652567,463828,,12188739,7498548
2022-09-01,12899,1721,910,2137,34856078,12653997,464635,,12189362,7500443
2022-09-02,15041,1615,991,4919,34871119,12655342,465251,,12190091,7505141
2022-09-03,14708,1525,919,5513,34885827,12656596,465854,,12190742,7510429
2022-09-04,8660,1010,675,3234,34894487,12657350,466181,,12191169,7513447
2022-09-05,3550,321,229,1383,34898037,12657410,466270,,12191140,7514610
2022-09-06,2460,157,113,1127,34900497,12657321,466311,,12191010,7515534
2022-09-07,10921,1018,587,3491,34911418,12658049,466740,,12191309,7518779
2022-09-08,10863,1021,523,2790,34922281,12658749,467235,,12191514,7521299
2022-09-09,9580,1013,488,2500,34931861,12659477,467755,,12191722,7523566
2022-09-10,10629,1266,551,3162,34942490,12660473,468464,,12192009,7526500
2022-09-11,9403,982,667,3734,34951893,12661212,468773,,12192439,7530029
2022-09-12,3124,295,203,1079,34955017,12661231,468859,,12192372,7530876
2022-09-13,6010,542,281,1131,34961027,12661496,469111,,12192385,7531773
2022-09-14,14476,798,432,1843,34975503,12661983,469473,,12192510,7533355
2022-09-15,15743,780,408,1533,34991246,12662451,469841,,12192610,7534623
2022-09-16,17748,766,445,1690,35008994,12662964,470156,,12192808,7536097
2022-09-17,17606,722,456,1665,35026600,12663391,470418,,12192973,7537514
2022-09-18,11207,776,451,1684,35037807,12663912,470741,,12193171,7538980
2022-09-19,4977,403,288,670,35042784,12664051,470853,,12193198,7539440
2022-09-20,13749,438,327,941,35056533,12664182,470962,,12193220,7540121
2022-09-21,23023,644,406,1496,35079556,12664534,471195,,12193339,7541375
2022-09-22,22901,638,397,1378,35102457,12664874,471430,,12193444,7542498
2022-09-23,22934,726,599,1416,35125391,12665309,471553,,12193756,7543667
2022-09-24,21677,736,689,1498,35147068,12665756,471596,,12194160,7544932
2022-09-25,11314,595,702,1355,35158382,12666079,471484,,12194595,7546058
2022-09-26,4561,192,218,594,35162943,12665990,471452,,12194538,7546413
2022-09-27,37644,499,364,1498,35200587,12666229,471583,,12194646,7547691
2022-09-28,50955,730,670,1901,35251542,12666700,471642,,12195058,7549375
2022-09-29,47990,637,739,1836,35299532,12667029,471533,,12195496,7550944
2022-09-30,47265,679,806,2001,35346797,12667389,471404,,12195985,7552671
2022-10-01,34434,527,632,1545,35381231,12667617,471297,,12196320,7553958
2022-10-02,24238,738,1025,1710,35405469,12668073,471007,,12197066,7555426
2022-10-03,10863,239,230,611,35416332,12668032,471012,,12197020,7555808
2022-10-04,32180,478,458,1168,35448512,12668202,471028,,12197174,7556710
2022-10-05,40417,625,740,1558,35488929,12668526,470908,,12197618,7558016
2022-10-06,38675,609,652,1567,35527604,12668846,470863,,12197983,7559333
2022-10-07,42229,660,851,1742,35569833,12669172,470664,,12198508,7560785
2022-10-08,37379,784,1145,2120,35607212,12669646,470297,,12199349,7562647
2022-10-09,18811,549,727,1557,35626023,12669934,470116,,12199818,7563982
2022-10-10,6862,170,370,567,35632885,12669820,469914,,12199906,7564302
2022-10-11,4986,124,111,318,35637871,12669666,469922,,12199744,7564390
2022-10-12,35098,579,684,1426,35672969,12669924,469815,,12200109,7565539
2022-10-13,36747,644,857,1621,35709716,12670225,469600,,12200625,7566868
2022-10-14,36959,621,752,1539,35746675,12670532,469466,,12201066,7568138
2022-10-15,35444,716,1013,1624,35782119,12670980,469166,,12201814,7569534
2022-10-16,20660,654,1024,1593,35802779,12671380,468790,,12202590,7570907
2022-10-17,7349,206,477,538,35810128,12671316,468518,,12202798,7571215
2022-10-18,36413,458,499,1397,35846541,12671467,468473,,12202994,7572350
2022-10-19,49872,619,729,1983,35896413,12671797,468360,,12203437,7574092
2022-10-20,51264,623,648,2048,35947677,12672119,468333,,12203786,7575887
2022-10-21,52835,699,618,1938,36000512,12672506,468411,,12204095,7577565
2022-10-22,50853,752,905,2308,36051365,12672941,468253,,12204688,7579607
2022-10-23,30622,579,782,2118,36081987,12673218,468044,,12205174,7581470
2022-10-24,14130,231,270,979,36096117,12673163,468000,,12205163,7582203
2022-10-25,41343,474,488,1815,36137460,12673309,467983,,12205326,7583739
2022-10-26,51615,618,660,2122,36189075,12673605,467937,,12205668,7585592
2022-10-27,50091,610,768,2162,36239166,12673905,467773,,12206132,7587495
2022-10-28,49773,591,673,2093,36288939,12674156,467688,,12206468,7589293
2022-10-29,50579,737,778,2217,36339518,12674565,467643,,12206922,7591228
2022-10-30,28386,663,930,2034,36367904,12674966,467373,,12207593,7593032
2022-10-31,12436,199,234,777,36380340,12674908,467335,,12207573,7593592
2022-11-01,33072,341,196,1220,36413412,12674921,467474,,12207447,7594534
2022-11-02,44270,576,622,1905,36457682,12675191,467426,,12207765,7596161
2022-11-03,44172,540,605,1856,36501854,12675432,467358,,12208074,7597756
2022-11-04,44624,652,527,2024,36546478,12675800,467477,,12208323,7599541
2022-11-05,45189,648,755,2369,36591667,12676172,467367,,12208805,7601665
2022-11-06,26012,560,771,2096,36617679,12676414,467154,,12209260,7603484
2022-11-07,10710,243,235,876,36628389,12676409,467159,,12209250,7604154
2022-11-08,33463,487,395,1584,36661852,12676629,467248,,12209381,7605512
2022-11-09,40521,605,569,1966,36702373,12676947,467283,,12209664,7607234
2022-11-10,39161,626,547,1926,36741534,12677284,467358,,12209926,7608909
2022-11-11,43324,638,641,2205,36784858,12677638,467354,,12210284,7610869
2022-11-12,36832,640,592,2185,36821690,12677976,467394,,12210582,7612791
2022-11-13,24257,559,770,2276,36845947,12678263,467178,,12211085,7614833
2022-11-14,10961,233,204,1023,36856908,12678230,467206,,12211024,7615622
2022-11-15,33583,485,379,1691,36890491,12678388,467308,,12211080,7617036
2022-11-16,43517,801,581,2369,36934008,12678919,467523,,12211396,7619178
2022-11-17,38314,674,646,2241,36972322,12679275,467547,,12211728,7621148
2022-11-18,40600,725,530,2326,37012922,12679683,467738,,12211945,7623197
2022-11-19,39640,1016,1031,3077,37052562,12680388,467719,,12212669,7626000
2022-11-20,22411,661,718,2440,37074973,12680813,467661,,12213152,7628242
2022-11-21,8918,197,192,970,37083891,12680773,467662,,12213111,7629025
2022-11-22,26429,480,368,1512,37110320,12680939,467770,,12213169,7630263
2022-11-23,32052,686,666,2068,37142372,12681324,467788,,12213536,7632076
2022-11-24,31891,664,750,2081,37174263,12681705,467701,,12214004,7633917
2022-11-25,30745,764,829,1949,37205008,12682195,467630,,12214565,7635636
2022-11-26,30270,907,1190,2696,37235278,12682801,467340,,12215461,7638070
2022-11-27,18670,611,944,2087,37253948,12683145,467003,,12216142,7639925
2022-11-28,7536,191,280,786,37261484,12683073,466909,,12216164,7640476
2022-11-29,21014,421,452,1291,37282498,12683209,466875,,12216334,7641521
2022-11-30,27880,647,647,1838,37310378,12683579,466873,,12216706,7643117
2022-12-01,24793,594,682,1689,37335171,12683890,466783,,12217107,7644559
2022-12-02,25044,524,630,1771,37360215,12684131,466671,,12217460,7646081
2022-12-03,25541,588,779,1944,37385756,12684443,466473,,12217970,7647802
2022-12-04,15245,499,606,1699,37401001,12684659,466362,,12218297,7649248
2022-12-05,6879,168,156,746,37407880,12684573,466369,,12218204,7649776
2022-12-06,20332,421,351,1375,37428212,12684683,466438,,12218245,7650882
2022-12-07,24755,553,609,1668,37452967,12684978,466379,,12218599,7652327
2022-12-08,23148,563,523,1760,37476115,12685282,466418,,12218864,7653856
2022-12-09,23315,636,575,1631,37499430,12685654,466478,,12219176,7655263
2022-12-10,22565,512,600,1627,37521995,12685917,466389,,12219528,7656671
2022-12-11,14197,549,785,1567,37536192,12686258,466151,,12220107,7658054
2022-12-12,5506,150,157,593,37541698,12686173,466140,,12220033,7658450
2022-12-13,17786,378,367,1125,37559484,12686286,466151,,12220135,7659345
2022-12-14,21309,511,547,1452,37580793,12686583,466111,,12220472,7660609
2022-12-15,21950,530,601,1578,37602743,12686843,466039,,12220804,7661952
2022-12-16,16278,378,449,1030,37619021,12686963,465968,,12220995,7662761
2022-12-17,18690,559,506,1273,37637711,12687273,466020,,12221253,7663802
2022-12-18,12634,530,794,1303,37650345,12687576,465755,,12221821,7664899
2022-12-19,4585,133,115,448,37654930,12687449,465769,,12221680,7665116
2022-12-20,16201,501,449,1105,37671131,12687705,465818,,12221887,7666007
2022-12-21,18460,547,551,1298,37689591,12688022,465811,,12222211,7667100
2022-12-22,18586,576,589,1743,37708177,12688370,465798,,12222572,7668642
2022-12-23,15629,580,597,1712,37723806,12688671,465776,,12222895,7670120
2022-12-24,5329,223,171,671,37729135,12688651,465828,,12222823,7670569
2022-12-25,2441,153,152,480,37731576,12688564,465822,,12222742,7670840
2022-12-26,262,12,7,48,37731838,12688340,465823,,12222517,7670680
2022-12-27,2090,99,35,305,37733928,12688231,465885,,12222346,7670801
2022-12-28,8316,337,167,975,37742244,12688318,466053,,12222265,7671550
2022-12-29,13154,584,524,1600,37755398,12688652,466110,,12222542,7672930
2022-12-30,15811,671,657,1877,37771209,12689079,466121,,12222958,7674588
2022-12-31,11224,462,387,1353,37782433,12689262,466192,,12223070,7675694
2023-01-01,3905,204,219,561,37786338,12689227,466177,,12223050,7676045
2023-01-02,652,37,15,96,37786990,12689039,466199,,12222840,7675940
