"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-09-07,"70-79yrs",1194266,1167686,0,0,1181151,.9999,.9886,.0000
2021-09-07,"80+",746538,731431,0,0,674976,.9999,.9999,.0000
2021-09-07,"Adults_18plus",10601505,9818214,0,0,12076175,.8779,.8130,.0000
2021-09-07,"Ontario_12plus",11176619,10298562,0,0,13038032,.8572,.7899,.0000
2021-09-07,"Undisclosed_or_missing",413,178,0,0,0,.0000,.0000,.0000
2021-09-08,"12-17yrs",577031,482394,0,0,961857,.5999,.5015,.0000
2021-09-08,"18-29yrs",1943367,1662987,0,0,2454802,.7917,.6774,.0000
2021-09-08,"30-39yrs",1690062,1509025,0,0,2077137,.8136,.7265,.0000
2021-09-08,"40-49yrs",1572346,1452904,0,0,1855340,.8475,.7831,.0000
2021-09-08,"50-59yrs",1734739,1639858,0,0,2019276,.8591,.8121,.0000
2021-09-08,"60-69yrs",1734808,1672384,0,0,1813493,.9566,.9222,.0000
2021-09-08,"70-79yrs",1194549,1168155,0,0,1181151,.9999,.9890,.0000
2021-09-08,"80+",746551,731530,0,0,674976,.9999,.9999,.0000
2021-09-08,"Adults_18plus",10616422,9836843,0,0,12076175,.8791,.8146,.0000
2021-09-08,"Ontario_12plus",11193453,10319237,0,0,13038032,.8585,.7915,.0000
2021-09-08,"Undisclosed_or_missing",416,180,0,0,0,.0000,.0000,.0000
2021-09-09,"12-17yrs",578817,484392,0,0,961857,.6018,.5036,.0000
2021-09-09,"18-29yrs",1948845,1669066,0,0,2454802,.7939,.6799,.0000
2021-09-09,"30-39yrs",1694016,1513146,0,0,2077137,.8156,.7285,.0000
2021-09-09,"40-49yrs",1574800,1455754,0,0,1855340,.8488,.7846,.0000
2021-09-09,"50-59yrs",1736438,1642199,0,0,2019276,.8599,.8133,.0000
2021-09-09,"60-69yrs",1735790,1673798,0,0,1813493,.9572,.9230,.0000
2021-09-09,"70-79yrs",1194859,1168659,0,0,1181151,.9999,.9894,.0000
2021-09-09,"80+",746574,731633,0,0,674976,.9999,.9999,.0000
2021-09-09,"Adults_18plus",10631322,9854255,0,0,12076175,.8804,.8160,.0000
2021-09-09,"Ontario_12plus",11210139,10338647,0,0,13038032,.8598,.7930,.0000
2021-09-09,"Undisclosed_or_missing",418,181,0,0,0,.0000,.0000,.0000
2021-09-10,"12-17yrs",580419,486209,0,0,961857,.6034,.5055,.0000
2021-09-10,"18-29yrs",1953638,1674808,0,0,2454802,.7958,.6823,.0000
2021-09-10,"30-39yrs",1697563,1517125,0,0,2077137,.8173,.7304,.0000
2021-09-10,"40-49yrs",1577197,1458588,0,0,1855340,.8501,.7862,.0000
2021-09-10,"50-59yrs",1738051,1644447,0,0,2019276,.8607,.8144,.0000
2021-09-10,"60-69yrs",1736735,1675241,0,0,1813493,.9577,.9238,.0000
2021-09-10,"70-79yrs",1195189,1169210,0,0,1181151,.9999,.9899,.0000
2021-09-10,"80+",746579,731755,0,0,674976,.9999,.9999,.0000
2021-09-10,"Adults_18plus",10644952,9871174,0,0,12076175,.8815,.8174,.0000
2021-09-10,"Ontario_12plus",11225371,10357383,0,0,13038032,.8610,.7944,.0000
2021-09-10,"Undisclosed_or_missing",420,181,0,0,0,.0000,.0000,.0000
2021-09-11,"12-17yrs",582309,489461,0,0,961857,.6054,.5089,.0000
2021-09-11,"18-29yrs",1958306,1681254,0,0,2454802,.7977,.6849,.0000
2021-09-11,"30-39yrs",1701276,1522135,0,0,2077137,.8190,.7328,.0000
2021-09-11,"40-49yrs",1579698,1462045,0,0,1855340,.8514,.7880,.0000
2021-09-11,"50-59yrs",1739674,1647071,0,0,2019276,.8615,.8157,.0000
2021-09-11,"60-69yrs",1737714,1676829,0,0,1813493,.9582,.9246,.0000
2021-09-11,"70-79yrs",1195469,1169757,0,0,1181151,.9999,.9904,.0000
2021-09-11,"80+",746570,731895,0,0,674976,.9999,.9999,.0000
2021-09-11,"Adults_18plus",10658707,9890986,0,0,12076175,.8826,.8190,.0000
2021-09-11,"Ontario_12plus",11241016,10380447,0,0,13038032,.8622,.7962,.0000
2021-09-11,"Undisclosed_or_missing",422,182,0,0,0,.0000,.0000,.0000
2021-09-12,"12-17yrs",583973,492233,0,0,961857,.6071,.5118,.0000
2021-09-12,"18-29yrs",1961869,1686589,0,0,2454802,.7992,.6871,.0000
2021-09-12,"30-39yrs",1703706,1525812,0,0,2077137,.8202,.7346,.0000
